"","states","SC_population","crime_reported","year","percent_change","crime_rate"
"173","Rajasthan",122.22,6475,"2013",16.4777837740601,52.9782359679267
"174","Rajasthan",122.22,6735,"2014",4.01544401544402,55.1055473735886
"175","Rajasthan",122.22,5911,"2015",-12.2345953971789,48.3636066110293
"176","Rajasthan",122.22,5134,"2016",-13.1449839282693,42.0062182948781
"177","Sikkim",0.28,16,"2009",NA,57.1428571428571
"178","Sikkim",0.28,3,"2010",-81.25,10.7142857142857
"179","Sikkim",0.28,9,"2011",200,32.1428571428571
"180","Sikkim",0.28,5,"2012",-44.4444444444444,17.8571428571429
"181","Sikkim",0.28,6,"2013",20,21.4285714285714
"182","Sikkim",0.28,3,"2014",-50,10.7142857142857
"183","Sikkim",0.28,3,"2015",0,10.7142857142857
"184","Sikkim",0.28,1,"2016",-66.6666666666667,3.57142857142857
"185","Tamil Nadu",144.38,1312,"2009",NA,9.0871311816041
"186","Tamil Nadu",144.38,1631,"2010",24.3140243902439,11.2965784734728
"187","Tamil Nadu",144.38,1391,"2011",-14.7148988350705,9.63429837927691
"188","Tamil Nadu",144.38,1647,"2012",18.4040258806614,11.4073971464192
"189","Tamil Nadu",144.38,1845,"2013",12.0218579234973,12.7787782241308
"190","Tamil Nadu",144.38,1494,"2014",-19.0243902439024,10.3476935863693
"191","Tamil Nadu",144.38,1736,"2015",16.1981258366801,12.0238260146835
"192","Tamil Nadu",144.38,1291,"2016",-25.6336405529954,8.94168167336196
"193","Tripura",6.55,7,"2009",NA,1.06870229007634
"194","Tripura",6.55,11,"2010",57.1428571428571,1.6793893129771
"195","Tripura",6.55,22,"2011",100,3.3587786259542
"196","Tripura",6.55,76,"2012",245.454545454545,11.6030534351145
"197","Tripura",6.55,48,"2013",-36.8421052631579,7.32824427480916
"198","Tripura",6.55,1,"2014",-97.9166666666667,0.152671755725191
"199","Tripura",6.55,1,"2015",0,0.152671755725191
"200","Tripura",6.55,0,"2016",-100,0
"201","Uttarakhand",18.93,58,"2009",NA,3.06391970417327
"202","Uttarakhand",18.93,35,"2010",-39.6551724137931,1.84891706286318
"203","Uttarakhand",18.93,32,"2011",-8.57142857142857,1.69043845747491
"204","Uttarakhand",18.93,33,"2012",3.125,1.743264659271
"205","Uttarakhand",18.93,34,"2013",3.03030303030303,1.79609086106709
"206","Uttarakhand",18.93,60,"2014",76.4705882352941,3.16957210776545
"207","Uttarakhand",18.93,80,"2015",33.3333333333333,4.22609614368727
"208","Uttarakhand",18.93,65,"2016",-18.75,3.43370311674591
"209","Uttar Pradesh",413.58,7522,"2009",NA,18.1875332462885
"210","Uttar Pradesh",413.58,6272,"2010",-16.6179207657538,15.1651433821752
"211","Uttar Pradesh",413.58,7702,"2011",22.7997448979592,18.6227573867208
"212","Uttar Pradesh",413.58,6202,"2012",-19.4754609192418,14.9958895497848
"213","Uttar Pradesh",413.58,7078,"2013",14.1244759754918,17.1139803665554
"214","Uttar Pradesh",413.58,8066,"2014",13.9587454083074,19.5028773151506
"215","Uttar Pradesh",413.58,8357,"2015",3.60773617654352,20.2064896755162
"216","Uttar Pradesh",413.58,10426,"2016",24.7576881656097,25.2091493785966
"217","West Bengal",214.63,21,"2009",NA,0.0978427992358943
"218","West Bengal",214.63,63,"2010",200,0.293528397707683
"219","West Bengal",214.63,59,"2011",-6.34920634920635,0.274891674043703
"220","West Bengal",214.63,85,"2012",44.0677966101695,0.396030377859572
"221","West Bengal",214.63,115,"2013",35.2941176470588,0.535805805339421
"222","West Bengal",214.63,130,"2014",13.0434782608696,0.605693519079346
"223","West Bengal",214.63,150,"2015",15.3846153846154,0.698877137399245
"224","West Bengal",214.63,119,"2016",-20.6666666666667,0.554442529003401
