"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate","gdp_per_capita","literacy_percent","income_status","literacy_status"
"71",71,"Himachal Pradesh",17.29,94,2015,-21.0084033613,5.4366685946,"UPA",68.56509,25.216914321851,106,1.54597623951197,3600,82.91,"Low","Low"
"72",72,"Himachal Pradesh",17.29,116,2016,23.4042553191,6.7090803933,"UPA",68.56509,25.216914321851,101,1.47305283198782,920,79.85,"High","Mid"
"73",73,"Jammu & Kashmir",9.25,1,2009,NA,0.1081081081,"UPA",125.48926,7.37114873416259,237,1.88860783783409,1600,75.48,"High","Mid"
"74",74,"Jammu & Kashmir",9.25,1,2010,0,0.1081081081,"UPA",125.48926,7.37114873416259,217,1.72923164898733,2500,91.58,"Mid","Low"
"75",75,"Jammu & Kashmir",9.25,1,2011,0,0.1081081081,"UPA",125.48926,7.37114873416259,169,1.34672879575511,1400,80.11,"High","Low"
"76",76,"Jammu & Kashmir",9.25,2,2012,100,0.2162162162,"UPA",125.48926,7.37114873416259,124,0.988132370849904,1600,73.45,"High","Mid"
"77",77,"Jammu & Kashmir",9.25,0,2013,-100,0,"UPA",125.48926,7.37114873416259,150,1.19532141635069,2400,76.68,"Mid","Mid"
"78",78,"Jammu & Kashmir",9.25,0,2014,NA,0,"NDA",125.48926,7.37114873416259,156,1.24313427300472,1600,67.06,"High","High"
"79",79,"Jammu & Kashmir",9.25,0,2015,NA,0,"NDA",125.48926,7.37114873416259,133,1.05985165583095,3600,82.2,"Low","Low"
"80",80,"Jammu & Kashmir",9.25,1,2016,Inf,0.1081081081,"NDA",125.48926,7.37114873416259,142,1.13157094081199,2900,80.33,"Low","Low"
"81",81,"Jharkhand",39.86,631,2009,NA,15.8304064225,"UPA",329.66238,12.0911582328563,1636,4.96265300274784,1200,87.75,"High","Low"
"82",82,"Jharkhand",39.86,577,2010,-8.557844691,14.4756648269,"UPA",329.66238,12.0911582328563,1689,5.12342354623539,1100,69.72,"High","High"
"83",83,"Jharkhand",39.86,636,2011,10.2253032929,15.9558454591,"UPA",329.66238,12.0911582328563,1747,5.29936112212743,2900,79.63,"Low","Mid"
"84",84,"Jharkhand",39.86,696,2012,9.4339622642,17.4611138986,"UPA",329.66238,12.0911582328563,1694,5.13859057863988,1600,77.08,"High","Mid"
"85",85,"Jharkhand",39.86,978,2013,40.5172413793,24.5358755645,"UPA",329.66238,12.0911582328563,1630,4.94445256386246,2200,67.4,"Mid","High"
