"","states","year","party","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC","population"
"15","CHHATTISGARH",2009,"NDA",4.2403746627473,2.86607040916992,0.0743925379429351,3.82142721222656,1.11980346587787,0.524663162334385,0.0626463477414191,26.3153814481298,255.40196
"16","CHHATTISGARH",2010,"NDA",4.16989752153821,2.96003993078205,0.117461902015161,3.96238149464476,1.40562742744809,0.47767840152832,0.0587309510075804,30.8768186430519,255.40196
"17","CHHATTISGARH",2011,"NDA",4.34609037456095,2.9248013601775,0.109631108547483,4.12291276073214,1.84806725837186,0.266246977901031,0.0274077771368708,24.9293310043509,255.40196
"18","CHHATTISGARH",2012,"NDA",3.90756594037101,2.32183026316634,0.101800315079806,4.04852022278921,1.76192853022741,0.250585390965676,0.0156615869353548,22.3216767796144,255.40196
"19","CHHATTISGARH",2013,"NDA",3.70004991347756,2.53326168679363,0.0939695216121286,5.40324749269739,8.75091170012947,0.184023646490418,0.0195769836691935,1.82457487796883,255.40196
"20","CHHATTISGARH",2014,"NDA",3.90756594037101,2.8034240614285,0.113546505281322,5.62250970979236,7.88560902195112,0.227093010562644,0.0234923804030321,1.33123488950515,255.40196
"21","CHHATTISGARH",2015,"NDA",3.63740356573614,2.84257802876689,0.125292695482838,6.10801890478836,8.15577139658599,0.415032053786901,0.0391539673383869,0.990595373661189,255.40196
"22","GUJARAT",2009,"NDA",1.68919959562549,0.775044520345813,0.0496823410478085,0.71708178912337,2.23239319108153,0.40739519659203,0.0182168583841965,0.0066243121397078,603.83628
"23","GUJARAT",2010,"NDA",1.73556978060344,0.765108052136251,0.0728674335367858,0.675679838250196,2.3963449165393,0.308030514496413,0.0298094046286851,0.0165607803492695,603.83628
"24","GUJARAT",2011,"NDA",1.86474386732775,0.791605300695082,0.0712113555018589,0.727018257332931,2.6729099483721,0.365993245718856,0.0397458728382468,0.0198729364191234,603.83628
"25","GUJARAT",2012,"NDA",1.86474386732775,0.922435465454312,0.0712113555018589,0.783324910520448,2.84845422007436,0.475294396024035,0.0314654826636121,0.0215290144540504,603.83628
"26","GUJARAT",2013,"NDA",1.85149524304833,0.998615055060951,0.0811478237114206,1.21224912156653,4.41510404111525,0.476950474058962,0.0298094046286851,0.0215290144540504,603.83628
"27","GUJARAT",2014,"NDA",1.86143171125789,1.25199499440477,0.0943964479908362,1.39276162737357,4.50784441107116,0.490199098338377,0.0248411705239043,0.0182168583841965,603.83628
"28","GUJARAT",2015,"NDA",1.90448974016599,1.50371885571367,0.0811478237114206,0.833007251568256,3.49101249762601,0.455421459604911,0.0281533265937582,1.95748423728366,603.83628
"29","HARYANA",2009,"UPA",3.73919051495161,2.72156271657871,0.307654915787158,2.37840915666226,3.61297311360304,0.603476950197887,1.17145525626649,3.9758481424802,253.53081
"30","HARYANA",2010,"UPA",3.96401526110377,3.29742961023159,0.248490508905012,2.839891530343,3.79835492183376,0.579811187445029,0.978184860451477,4.19278430104807,253.53081
"31","HARYANA",2011,"UPA",4.18884000725592,3.35659401711374,0.236657627528583,2.89116734964086,3.78257774666519,0.65869706328789,0.694195707417178,4.05473401832306,253.53081
"32","HARYANA",2012,"UPA",3.90879514801377,3.58930735085018,0.268211977865728,2.63478825315156,5.32085232560098,0.804635933597183,0.694195707417178,4.69370961265023,253.53081
"33","HARYANA",2013,"UPA",3.87329650388448,3.08049345166372,0.216936158567868,3.82990927217091,10.9335823918205,0.60742124399003,0.414150848175021,4.3150574086045,253.53081
