"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate"
"77",77,"Jammu & Kashmir",9.25,0,2013,-100,0,"u",125.48926,7.37114873416259,150,1.19532141635069
"78",78,"Jammu & Kashmir",9.25,0,2014,NA,0,"n",125.48926,7.37114873416259,156,1.24313427300472
"79",79,"Jammu & Kashmir",9.25,0,2015,NA,0,"n",125.48926,7.37114873416259,133,1.05985165583095
"80",80,"Jammu & Kashmir",9.25,1,2016,Inf,0.1081081081,"n",125.48926,7.37114873416259,142,1.13157094081199
"81",81,"Jharkhand",39.86,631,2009,NA,15.8304064225,"u",329.66238,12.0911582328563,1636,4.96265300274784
"82",82,"Jharkhand",39.86,577,2010,-8.557844691,14.4756648269,"u",329.66238,12.0911582328563,1689,5.12342354623539
"83",83,"Jharkhand",39.86,636,2011,10.2253032929,15.9558454591,"u",329.66238,12.0911582328563,1747,5.29936112212743
"84",84,"Jharkhand",39.86,696,2012,9.4339622642,17.4611138986,"u",329.66238,12.0911582328563,1694,5.13859057863988
"85",85,"Jharkhand",39.86,978,2013,40.5172413793,24.5358755645,"u",329.66238,12.0911582328563,1630,4.94445256386246
"86",86,"Jharkhand",39.86,903,2014,-7.6687116564,22.6542900151,"n",329.66238,12.0911582328563,1658,5.02938794532758
"87",87,"Jharkhand",39.86,736,2015,-18.4939091916,18.4646261917,"n",329.66238,12.0911582328563,1536,4.65931235465812
"88",88,"Jharkhand",39.86,525,2016,-28.6684782609,13.171098846,"n",329.66238,12.0911582328563,1514,4.59257741207838
"89",89,"Karnataka",104.75,2174,2009,NA,20.754176611,"n",611.30704,17.1354152898354,1702,2.78419826475416
"90",90,"Karnataka",104.75,2505,2010,15.2253909844,23.9140811456,"n",611.30704,17.1354152898354,1805,2.95268969910767
"91",91,"Karnataka",104.75,2481,2011,-0.9580838323,23.6849642005,"n",611.30704,17.1354152898354,1820,2.97722728663488
"92",92,"Karnataka",104.75,2605,2012,4.9979846836,24.8687350835,"u",611.30704,17.1354152898354,1860,3.04266085337411
"93",93,"Karnataka",104.75,2566,2013,-1.4971209213,24.4964200477,"u",611.30704,17.1354152898354,1601,2.61897850873761
"94",94,"Karnataka",104.75,1865,2014,-27.3187840998,17.8042959427,"u",611.30704,17.1354152898354,1636,2.67623287963443
"95",95,"Karnataka",104.75,1852,2015,-0.6970509383,17.6801909308,"u",611.30704,17.1354152898354,1557,2.54700158532445
"96",96,"Karnataka",104.75,1869,2016,0.9179265659,17.8424821002,"u",611.30704,17.1354152898354,1573,2.57317501202015
"97",97,"Kerala",30.4,467,2009,NA,15.3618421053,"u",333.87677,9.10515577349092,343,1.02732514154848
"98",98,"Kerala",30.4,583,2010,24.8394004283,19.1776315789,"u",333.87677,9.10515577349092,363,1.08722748216355
"99",99,"Kerala",30.4,761,2011,30.5317324185,25.0328947368,"u",333.87677,9.10515577349092,365,1.09321771622506
"100",100,"Kerala",30.4,810,2012,6.4388961892,26.6447368421,"u",333.87677,9.10515577349092,374,1.12017376950184
"101",101,"Kerala",30.4,756,2013,-6.6666666667,24.8684210526,"u",333.87677,9.10515577349092,372,1.11418353544034
"102",102,"Kerala",30.4,712,2014,-5.8201058201,23.4210526316,"u",333.87677,9.10515577349092,367,1.09920795028657
"103",103,"Kerala",30.4,696,2015,-2.2471910112,22.8947368421,"u",333.87677,9.10515577349092,334,1.0003690882717
"104",104,"Kerala",30.4,810,2016,16.3793103448,26.6447368421,"u",333.87677,9.10515577349092,305,0.913510694379846
"105",105,"Madhya Pradesh",113.42,3040,2009,NA,26.8030329748,"n",725.97565,15.6231135300475,2386,3.28661161018279
"106",106,"Madhya Pradesh",113.42,3374,2010,10.9868421053,29.7478398871,"n",725.97565,15.6231135300475,2423,3.33757750690399
"107",107,"Madhya Pradesh",113.42,3245,2011,-3.8233550682,28.6104743431,"n",725.97565,15.6231135300475,2511,3.45879369370033
"108",108,"Madhya Pradesh",113.42,2875,2012,-11.4021571649,25.3482630929,"n",725.97565,15.6231135300475,2373,3.26870467349697
"109",109,"Madhya Pradesh",113.42,2945,2013,2.4347826087,25.9654381943,"n",725.97565,15.6231135300475,2112,2.90918848311235
"110",110,"Madhya Pradesh",113.42,3294,2014,11.8505942275,29.0424969141,"n",725.97565,15.6231135300475,2274,3.13233646335108
"111",111,"Madhya Pradesh",113.42,3546,2015,7.650273224,31.2643272791,"n",725.97565,15.6231135300475,2339,3.2218711467802
